"horas_luz","temperatura","humedad","humedad_suelo","etiqueta"
0.05,0.81,0.66,0.57,14
0.01,0.81,0.67,0.57,14
0.65,0.81,0.68,0.57,17
0.49,0.81,0.69,0.57,14
0.03,0.81,0.68,0.57,14
0.51,0.81,0.68,0.57,17
0.66,0.82,0.7,0.57,17
0.2,0.81,0.69,0.57,14
0.76,0.81,0.69,0.57,17
0.49,0.81,0.67,0.57,14
0.55,0.81,0.67,0.57,17
0.64,0.81,0.67,0.57,17
0.54,0.81,0.67,0.57,17
0.71,0.81,0.66,0.57,17
0.53,0.81,0.66,0.57,17
0.29,0.81,0.66,0.57,14
0.5,0.81,0.67,0.57,14
0.23,0.81,0.66,0.57,14
0.6,0.81,0.65,0.55,17
0.02,0.81,0.65,0.57,14
0.48,0.81,0.65,0.57,14
0.41,0.81,0.65,0.57,14
0.04,0.81,0.66,0.57,14
0.54,0.81,0.66,0.58,17
0.52,0.81,0.66,0.58,17
0.33,0.81,0.65,0.58,14
0.67,0.81,0.65,0.57,17
0.69,0.81,0.65,0.57,17
0.06,0.81,0.65,0.55,14
0.3,0.82,0.65,0.57,14
0.3,0.81,0.66,0.57,14
0.72,0.82,0.65,0.57,17
0.64,0.81,0.65,0.57,17
0.73,0.82,0.65,0.57,17
0.46,0.82,0.65,0.58,14
0.02,0.81,0.65,0.58,14
0.57,0.82,0.65,0.58,17
0.05,0.81,0.65,0.57,14
0.27,0.81,0.65,0.57,14
0.6,0.82,0.66,0.57,17
0.09,0.81,0.67,0.57,14
0.57,0.81,0.66,0.58,17
0.64,0.82,0.65,0.58,17
0.36,0.82,0.64,0.58,14
0.66,0.81,0.65,0.58,17
0.49,0.81,0.64,0.58,14
0.64,0.81,0.65,0.58,17
0.51,0.82,0.65,0.58,17
0.67,0.81,0.66,0.58,17
0.21,0.81,0.66,0.58,14
0.22,0.81,0.66,0.58,14
0,0.82,0.65,0.59,14
0.66,0.81,0.65,0.59,17
0.41,0.82,0.65,0.59,14
0.76,0.82,0.65,0.59,17
0.4,0.82,0.65,0.59,14
0.68,0.82,0.64,0.59,17
0.27,0.82,0.65,0.59,14
0.01,0.82,0.65,0.59,14
0.42,0.82,0.65,0.59,14
0.19,0.82,0.65,0.59,14
0.43,0.82,0.65,0.59,14
0.64,0.82,0.64,0.59,17
0.1,0.82,0.65,0.59,14
0.53,0.82,0.65,0.59,17
0.58,0.82,0.65,0.59,17
0.48,0.82,0.65,0.59,14
0.2,0.82,0.65,0.59,14
0.76,0.82,0.64,0.59,17
0.35,0.82,0.64,0.58,14
0.57,0.82,0.65,0.59,17
0.05,0.82,0.65,0.59,14
0.3,0.82,0.65,0.59,14
0.68,0.82,0.66,0.59,17
0.55,0.82,0.66,0.59,17
0.24,0.82,0.66,0.58,14
0.53,0.82,0.66,0.59,17
0.16,0.82,0.66,0.59,14
0.07,0.82,0.65,0.59,14
0.71,0.82,0.66,0.59,17
0.69,0.82,0.66,0.59,17
0.16,0.83,0.65,0.58,14
0.15,0.83,0.65,0.59,14
0.49,0.83,0.65,0.59,14
0.64,0.83,0.65,0.59,17
0.1,0.83,0.65,0.59,14
0.43,0.83,0.65,0.59,14
0.42,0.83,0.64,0.58,14
0.13,0.83,0.64,0.59,14
0.61,0.83,0.65,0.59,17
0.2,0.83,0.66,0.59,14
0.43,0.83,0.66,0.59,14
0.42,0.83,0.66,0.59,14
0.2,0.83,0.65,0.59,14
0.08,0.83,0.64,0.59,14
0.11,0.83,0.64,0.59,14
0.18,0.83,0.65,0.59,14
0.79,0.83,0.64,0.59,17
0.49,0.83,0.64,0.59,14
0.57,0.83,0.63,0.59,17
0.51,0.83,0.63,0.59,17
0.58,0.83,0.63,0.59,17
0.76,0.83,0.63,0.59,17
0.63,0.83,0.63,0.59,17
0.04,0.83,0.63,0.59,14
0.5,0.83,0.63,0.59,14
0.1,0.83,0.63,0.59,14
0.01,0.83,0.63,0.59,14
0.62,0.83,0.63,0.59,17
0.62,0.82,0.62,0.59,17
0.65,0.83,0.62,0.59,17
0.69,0.82,0.61,0.59,17
0.55,0.83,0.61,0.59,17
0.16,0.83,0.62,0.59,14
0.43,0.83,0.63,0.59,14
0.52,0.83,0.63,0.59,17
0.26,0.83,0.64,0.59,14
0.69,0.83,0.63,0.59,17
0.36,0.83,0.63,0.59,14
0.2,0.83,0.64,0.59,14
0.44,0.83,0.63,0.59,14
0.54,0.83,0.64,0.59,17
0.47,0.83,0.63,0.59,14
0.64,0.83,0.63,0.59,17
0.76,0.83,0.63,0.6,17
0.56,0.83,0.63,0.59,17
0,0.83,0.64,0.59,14
0.15,0.83,0.62,0.59,14
0.57,0.83,0.62,0.59,17
0.21,0.83,0.63,0.59,14
0.56,0.83,0.64,0.59,17
0.57,0.83,0.64,0.6,17
0.32,0.84,0.65,0.6,14
0.6,0.83,0.64,0.59,17
0.6,0.83,0.64,0.6,17
0.41,0.83,0.64,0.6,14
0.49,0.84,0.66,0.59,14
0.46,0.84,0.66,0.59,14
0.51,0.83,0.65,0.59,17
0.69,0.84,0.65,0.59,17
0.5,0.84,0.64,0.59,17
0.24,0.84,0.63,0.6,14
0.52,0.84,0.63,0.6,17
0.51,0.84,0.63,0.59,17
0.46,0.84,0.64,0.59,14
0.71,0.84,0.63,0.59,17
0.18,0.84,0.63,0.59,14
0.74,0.84,0.63,0.59,17
0.58,0.84,0.62,0.59,17
0.55,0.84,0.63,0.59,17
0.61,0.84,0.64,0.6,17
0.74,0.84,0.65,0.6,17
0.37,0.84,0.65,0.6,14
0.51,0.84,0.64,0.59,17
0.62,0.84,0.63,0.6,17
0.67,0.84,0.63,0.6,17
0.36,0.84,0.63,0.6,14
0.29,0.84,0.64,0.6,14
0.08,0.84,0.64,0.6,14
0.13,0.84,0.63,0.6,14
0.27,0.84,0.63,0.6,14
0.63,0.84,0.64,0.6,17
0.7,0.84,0.64,0.6,17
0.63,0.84,0.63,0.6,17
0.15,0.84,0.63,0.6,14
0.71,0.84,0.63,0.6,17
0,0.84,0.63,0.6,14
0.32,0.84,0.62,0.6,14
