"id","luz","horas_luz","temperatura","humedad","humedad_suelo","nivel_id","fecha","etiqueta"
"6681","13859.6","1.2","24.29","66","581","1","2021-11-19 04:00:48","14"
"6682","13776.7","0.32","24.2","67","584","1","2021-11-19 04:00:53","14"
"6683","13943","15.71","24.34","68","583","1","2021-11-19 04:00:58","17"
"6684","14027","11.8","24.26","69","583","1","2021-11-19 04:01:03","14"
"6685","13776.7","0.63","24.34","68","584.5","1","2021-11-19 04:01:08","14"
"6686","13859.6","12.24","24.45","68","586.5","1","2021-11-19 04:01:13","17"
"6687","13859.6","15.84","24.5","70","584","1","2021-11-19 04:01:18","17"
"6688","13694.3","4.8","24.37","69","585","1","2021-11-19 04:01:23","14"
"6689","14027","18.14","24.37","69","585.5","1","2021-11-19 04:01:28","17"
"6690","14027","11.81","24.31","67","584","1","2021-11-19 04:01:33","14"
"6691","14027","13.2","24.31","67","587","1","2021-11-19 04:01:38","17"
"6692","13776.7","15.29","24.42","67","584.5","1","2021-11-19 04:01:43","17"
"6693","13943","13.17","24.42","67","585.5","1","2021-11-19 04:01:48","17"
"6694","13776.7","12.97","24.31","67","579.5","1","2021-11-19 04:01:53","17"
"6695","13776.7","16.97","24.29","66","585.5","1","2021-11-19 04:01:58","17"
"6696","13859.6","12.64","24.4","66","585","1","2021-11-19 04:02:03","17"
"6697","14027","6.99","24.4","66","582.5","1","2021-11-19 04:02:08","14"
"6698","14027","11.96","24.42","67","582.5","1","2021-11-19 04:02:13","14"
"6699","13943","5.53","24.29","66","584","1","2021-11-19 04:02:18","14"
"6700","14111.4","14.41","24.26","65","558.5","1","2021-11-19 04:02:23","17"
"6701","13776.7","0.46","24.37","65","584","1","2021-11-19 04:02:28","14"
"6702","14027","11.57","24.26","65","584","1","2021-11-19 04:02:33","14"
"6703","14027","9.9","24.37","65","582","1","2021-11-19 04:02:38","14"
"6704","13694.3","0.99","24.29","66","581.5","1","2021-11-19 04:02:43","14"
"6705","13694.3","13.08","24.4","66","589","1","2021-11-19 04:02:48","17"
"6706","13776.7","12.58","24.4","66","589","1","2021-11-19 04:02:53","17"
"6707","13776.7","8.03","24.37","65","589","1","2021-11-19 04:02:58","14"
"6708","13694.3","16.16","24.37","65","588","1","2021-11-19 04:03:03","17"
"6709","13694.3","16.66","24.37","65","588.5","1","2021-11-19 04:03:08","17"
"6710","13776.7","1.45","24.37","65","566","1","2021-11-19 04:03:13","14"
"6711","13694.3","0.45","24.37","65","588","1","2021-11-19 04:03:18","14"
"6712","13694.3","7.14","24.48","65","587.5","1","2021-11-19 04:03:23","14"
"6713","14894.3","7.16","24.4","66","586.5","1","2021-11-19 04:03:28","14"
"6714","13694.3","17.16","24.48","65","588.5","1","2021-11-19 04:03:33","17"
"6715","13694.3","15.48","24.37","65","587.5","1","2021-11-19 04:03:38","17"
"6716","13694.3","17.59","24.48","65","580","1","2021-11-19 04:03:43","17"
"6717","13531","10.96","24.48","65","589","1","2021-11-19 04:03:48","14"
"6718","13694.3","0.38","24.37","65","589.5","1","2021-11-19 04:03:53","14"
"6719","14716.7","13.76","24.48","65","589.5","1","2021-11-19 04:03:58","17"
"6720","13694.3","1.31","24.37","65","588.5","1","2021-11-19 04:04:03","14"
"6721","13694.3","6.49","24.37","65","581.5","1","2021-11-19 04:04:08","14"
"6722","13694.3","14.5","24.51","66","586.5","1","2021-11-19 04:04:13","17"
"6723","13776.7","15.27","24.42","67","587.5","1","2021-11-19 04:04:18","17"
"6724","13776.7","2.07","24.42","67","579.5","1","2021-11-19 04:04:23","14"
"6725","14454.1","13.65","24.4","66","595.5","1","2021-11-19 04:04:28","17"
"6726","13531","15.31","24.48","65","596","1","2021-11-19 04:04:33","17"
"6727","13531","8.73","24.46","64","595","1","2021-11-19 04:04:38","14"
"6728","13531","15.88","24.37","65","597.5","1","2021-11-19 04:04:43","17"
"6729","13531","11.8","24.35","64","599","1","2021-11-19 04:04:48","14"
"6730","13531","15.3","24.37","65","598","1","2021-11-19 04:04:53","17"
"6731","14454.1","12.19","24.48","65","598","1","2021-11-19 04:04:58","17"
"6732","13531","16.05","24.4","66","597.5","1","2021-11-19 04:05:03","17"
"6733","13450","5.07","24.4","66","599","1","2021-11-19 04:05:08","14"
"6734","13531","5.19","24.4","66","599","1","2021-11-19 04:05:13","14"
"6735","13531","0.01","24.48","65","601","1","2021-11-19 04:05:18","14"
"6736","13531","15.76","24.37","65","601","1","2021-11-19 04:05:23","17"
"6737","14454.1","9.85","24.48","65","601","1","2021-11-19 04:05:28","14"
"6738","13531","18.15","24.48","65","601","1","2021-11-19 04:05:33","17"
"6739","13531","9.65","24.48","65","601.5","1","2021-11-19 04:05:38","14"
"6740","13450","16.31","24.46","64","601.5","1","2021-11-19 04:05:43","17"
"6741","13531","6.42","24.48","65","601.5","1","2021-11-19 04:05:48","14"
"6742","13450","0.24","24.48","65","601.5","1","2021-11-19 04:05:53","14"
"6743","13531","10.14","24.48","65","602","1","2021-11-19 04:05:58","14"
"6744","13531","4.52","24.48","65","602","1","2021-11-19 04:06:03","14"
"6745","13450","10.43","24.48","65","601.5","1","2021-11-19 04:06:08","14"
"6746","13450","15.36","24.57","64","601","1","2021-11-19 04:06:13","17"
"6747","13450","2.38","24.48","65","600.5","1","2021-11-19 04:06:18","14"
